,Unnamed: 0,PetID,AdoptionSpeed,Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,State,Breed,Colors
2555,2555,1e0be9e49,4,2,8,1,2,1,2,2,2,1,1,0,0,3.0,41401,Domestic Short Hair,Gray
2559,2559,a561b2487,2,2,1,3,2,1,2,2,2,1,3,0,0,3.0,41401,Mixed Breed,"Yellow, Gray"
2567,2567,fff6f2f61,2,1,2,2,2,3,2,2,2,1,2,0,0,1.0,41330,Mixed Breed,"Black, Brown"
2569,2569,0e4cf50f4,0,1,6,2,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,Brown
2572,2572,b2385d700,2,1,1,1,2,1,2,1,2,1,1,0,0,23.0,41401,Mixed Breed,"Black, Brown"
2581,2581,4e9a13862,2,1,2,2,2,1,2,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
2589,2589,7ea900f4d,2,2,2,3,1,2,2,2,2,1,4,0,0,1.0,41401,Mixed Breed,"Black, Yellow"
2593,2593,10ae2697f,2,1,2,1,2,1,2,2,2,1,2,0,0,3.0,41326,Mixed Breed,"Black, Brown"
2629,2629,112ae92e0,4,1,3,3,2,1,2,2,2,1,4,0,0,4.0,41326,Mixed Breed,"Black, Brown"
2642,2642,76f668025,3,1,1,1,2,2,2,2,2,1,3,0,0,3.0,41401,Mixed Breed,"Black, Brown"
2643,2643,448770499,1,1,36,2,1,3,1,1,1,1,1,0,0,1.0,41330,Shih Tzu,"Brown, White"
2662,2662,7a3471df7,2,2,12,1,2,1,2,1,2,1,2,0,0,4.0,41326,Domestic Short Hair,"Black, Cream"
2665,2665,3ce643dc5,2,2,6,1,2,3,2,2,2,1,1,0,0,1.0,41401,Domestic Long Hair,Black
2670,2670,52cf4a759,0,2,0,3,2,2,1,1,1,1,3,0,0,3.0,41325,Mixed Breed,"Black, Yellow"
2674,2674,37d0748c2,3,2,1,2,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Brown, Cream"
2683,2683,68d430cbd,4,1,12,2,2,2,1,1,1,1,1,0,0,4.0,41326,Mixed Breed,Brown
2684,2684,cfd87918e,2,1,6,2,2,1,1,1,1,1,1,0,0,2.0,41330,Mixed Breed,Black
2691,2691,c8049d235,4,1,1,2,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,Golden
2697,2697,acf9a72ca,2,1,2,1,2,1,2,2,2,1,1,20,0,1.0,41327,Mixed Breed,Brown
2698,2698,b03336851,0,2,8,2,2,3,2,2,2,1,1,0,0,4.0,41326,Mixed Breed,"Brown, Cream"
2702,2702,d3c79cf76,3,1,1,3,2,2,2,2,2,1,7,0,0,1.0,41326,Mixed Breed,"Black, Brown"
2703,2703,b631b7e4a,1,2,8,1,2,2,1,1,1,1,1,0,0,4.0,41401,Mixed Breed,"Black, White"
2706,2706,e58bc75d7,1,2,1,2,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Black, Brown"
2717,2717,ac52ba660,3,1,2,1,2,2,1,1,1,1,1,0,0,7.0,41336,Mixed Breed,White
2750,2750,73f5dad5b,4,2,36,2,2,2,1,1,1,1,1,0,0,10.0,41401,Calico,"Black, Yellow"
2766,2766,6e77550de,4,2,3,2,2,1,2,1,2,1,1,0,0,9.0,41326,Domestic Short Hair,"Yellow, White"
2771,2771,18ee92cdf,3,1,2,3,2,1,2,2,3,1,2,0,0,3.0,41332,Mixed Breed,"Brown, Yellow"
2778,2778,e39881452,4,2,6,3,2,1,2,2,2,1,3,0,0,3.0,41326,Domestic Short Hair,"Black, Brown"
2784,2784,e22b9edd0,4,1,24,2,2,1,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,Black
2792,2792,5457a593a,4,1,15,1,2,1,1,1,1,2,1,0,0,3.0,41401,Mixed Breed,"Black, Brown"
2797,2797,9d9197e7e,1,2,12,3,1,1,2,2,2,1,5,0,0,6.0,41326,Domestic Short Hair,"Black, Golden"
2824,2824,ae9a09ad6,2,1,1,1,2,2,2,2,2,1,1,0,0,2.0,41327,Mixed Breed,"Brown, White"
2851,2851,626b056b5,4,1,24,2,3,1,2,2,3,1,1,0,0,3.0,41401,Mixed Breed,"Brown, White"
2853,2853,69d413ff2,0,1,2,2,2,2,1,1,2,1,4,0,0,15.0,41401,Mixed Breed,"Black, Brown"
2866,2866,8ee8b9d0f,1,2,1,3,1,1,2,2,2,2,4,0,0,1.0,41326,Tabby,"Brown, Cream"
2874,2874,50abab539,4,1,12,2,2,2,3,3,1,2,1,0,0,3.0,41401,Mixed Breed,Brown
2879,2879,1b5dbc3cf,1,1,1,1,2,2,2,2,2,1,1,1,0,2.0,41326,Mixed Breed,"Brown, Yellow"
2901,2901,cb256c605,4,2,6,2,2,1,1,1,2,1,1,0,0,1.0,41326,Domestic Short Hair,"Golden, Yellow"
2907,2907,e5cf352b2,2,1,2,2,1,1,2,1,3,1,1,0,0,3.0,41336,Mixed Breed,"Brown, Golden"
2921,2921,c3cef1c4b,1,1,1,2,2,1,2,1,2,1,1,0,0,6.0,41401,Mixed Breed,Black
2930,2930,b67778d17,2,1,2,2,2,1,3,3,2,1,1,0,0,3.0,41326,Mixed Breed,"Black, Brown"
2940,2940,53abff075,4,2,5,1,2,1,3,3,2,1,1,0,0,1.0,41326,Domestic Short Hair,Black
2958,2958,104c799db,4,1,2,3,2,1,3,3,3,1,6,0,0,1.0,41332,Mixed Breed,Black
2968,2968,e2f39a17e,2,2,72,2,1,1,2,2,1,1,1,0,0,2.0,41326,Domestic Short Hair,"Golden, Yellow"
2969,2969,fa323e99f,1,2,3,2,1,2,2,2,2,1,1,0,0,2.0,41401,Domestic Medium Hair,Brown
3000,3000,c62de8a15,3,2,2,2,2,1,2,1,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Black, Cream"
3007,3007,5ec697bec,4,2,1,3,1,1,2,1,2,1,2,0,0,5.0,41330,Domestic Short Hair,Gray
3025,3025,2e65d72c2,2,2,3,2,2,2,2,2,2,1,1,50,0,5.0,41326,Mixed Breed,"Black, Golden"
3041,3041,858f4c013,1,2,1,3,1,1,2,2,2,1,7,0,0,1.0,41326,Domestic Short Hair,"Brown, Cream"
3048,3048,62613fb88,1,1,96,2,3,1,3,3,3,1,1,0,0,2.0,41336,Great Dane,"Black, Brown"
3066,3066,ba433a9d3,4,2,5,1,2,2,2,1,2,1,1,0,0,1.0,41330,Domestic Medium Hair,"Golden, Cream"
3075,3075,3bc84c4a9,2,1,12,1,2,1,3,3,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Cream"
3105,3105,0e47fe631,3,2,1,1,3,2,3,3,3,1,1,0,0,8.0,41327,Siamese,"Brown, Gray"
3112,3112,e995f65fc,4,2,11,1,2,1,2,2,2,1,1,0,0,3.0,41332,Domestic Short Hair,"Golden, White"
3145,3145,6c4d7b09f,1,1,36,1,1,1,1,1,2,1,1,0,0,1.0,41401,Schnauzer,White
3155,3155,06904db12,2,2,4,1,1,1,2,1,2,1,2,0,0,1.0,41324,Domestic Short Hair,"Black, Golden"
3157,3157,92586e5a3,3,1,36,1,4,2,1,1,1,1,1,0,0,1.0,41326,Mixed Breed,Golden
3167,3167,807ea3b72,2,1,4,2,1,1,1,1,3,1,1,0,0,2.0,41326,Mixed Breed,White
3173,3173,24750a30f,4,2,54,1,2,1,1,1,1,1,1,0,0,2.0,41401,Domestic Short Hair,"Golden, Yellow"
3174,3174,110242085,4,2,7,1,2,1,1,1,1,1,1,0,0,3.0,41401,Domestic Short Hair,Golden
3190,3190,6bf08dced,3,1,1,1,2,2,1,1,2,1,1,0,0,8.0,41326,Mixed Breed,"Black, Golden"
3198,3198,5afb6da05,4,2,9,1,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,Golden
3210,3210,5bd0c6dc7,2,1,2,2,2,2,2,2,2,1,1,0,0,1.0,41330,Mixed Breed,"Black, Cream"
3224,3224,dbaa03313,1,1,48,1,1,3,1,1,3,2,1,0,0,4.0,41326,Schnauzer,White
3238,3238,fe9e5aa06,1,2,8,2,2,2,3,3,1,1,1,0,0,2.0,41326,Domestic Medium Hair,"Black, Brown"
3242,3242,99c7658be,1,1,12,1,2,1,3,3,3,1,1,0,0,2.0,41326,Mixed Breed,Cream
3264,3264,a30e92cfd,4,1,48,2,2,1,1,1,1,1,1,0,0,4.0,41326,Mixed Breed,"Brown, White"
3269,3269,aea876483,2,2,2,2,2,1,2,1,2,1,1,0,1,7.0,41332,Domestic Short Hair,"Gray, White"
3276,3276,6ea6cde88,3,2,36,2,2,3,2,2,1,1,1,0,0,3.0,41401,Domestic Long Hair,"Black, Brown"
3290,3290,ed10d7ee5,2,1,3,2,2,1,3,3,2,1,1,0,0,1.0,41326,Mixed Breed,"Brown, White"
3291,3291,f867cc417,1,1,2,1,2,2,2,1,2,1,1,0,0,6.0,41401,Mixed Breed,"Black, Yellow"
3303,3303,cb41cd1c5,1,1,2,1,2,1,2,1,2,1,1,0,0,2.0,41401,Mixed Breed,Black
3336,3336,a437cc78c,4,2,3,1,2,1,2,2,2,1,1,0,0,2.0,41401,Domestic Short Hair,Golden
3342,3342,3e924d284,3,2,10,2,2,1,1,1,1,1,1,50,0,1.0,41401,Domestic Short Hair,"Black, Golden"
3346,3346,c4a3c0456,2,1,3,1,2,1,2,1,2,1,1,0,0,1.0,41330,Mixed Breed,"Brown, White"
3390,3390,d22561762,2,2,1,3,2,1,2,2,2,1,7,0,0,3.0,41332,Domestic Short Hair,"Black, Yellow"
3393,3393,38063ee14,4,2,6,2,1,1,1,1,1,1,1,0,0,2.0,41401,Domestic Short Hair,"Yellow, White"
3410,3410,656a0a459,3,2,1,1,1,2,2,1,2,1,1,0,0,9.0,41326,Tabby,"Black, White"
3411,3411,042b1e55f,2,2,2,3,2,1,2,2,2,1,2,0,0,1.0,41326,Mixed Breed,"Black, Brown"
3432,3432,3df923a0e,1,1,5,2,2,1,2,2,2,1,1,0,0,1.0,41336,Mixed Breed,"Brown, White"
3436,3436,b921bfb80,4,2,31,2,3,1,1,1,1,1,1,0,0,5.0,41401,Tabby,"Black, Brown"
3437,3437,a7cd5b749,3,2,3,2,2,2,2,2,2,1,1,0,0,1.0,41326,Domestic Medium Hair,"Black, Brown"
3445,3445,9c583aec6,1,2,5,2,2,1,2,1,2,1,1,0,0,4.0,41401,Domestic Short Hair,"Cream, White"
3477,3477,359dd0b52,2,1,48,1,2,2,1,3,3,1,1,0,0,2.0,41326,Mixed Breed,"Cream, White"
3498,3498,1d20ba693,4,1,1,2,1,1,2,2,2,1,2,0,0,1.0,41326,Mixed Breed,Black
3511,3511,bd3fb8531,3,2,4,1,2,2,2,2,2,1,1,0,0,5.0,41326,Tabby,"Black, Brown"
3517,3517,63697128e,4,1,4,2,2,1,3,3,3,1,1,100,0,1.0,41327,Mixed Breed,"Yellow, White"
3527,3527,cbf20c4b0,4,1,42,2,2,3,1,1,1,1,1,0,0,2.0,41330,Mixed Breed,"Black, Brown"
3532,3532,618e97eeb,3,2,2,1,1,1,1,1,3,1,1,0,0,1.0,41401,Domestic Short Hair,"Black, Brown"
3540,3540,7a23bdbdc,4,1,4,1,2,1,3,3,3,1,1,0,0,3.0,41324,Mixed Breed,Brown
3553,3553,40fa3f339,0,2,2,1,1,2,2,1,3,1,1,0,0,2.0,41326,Mixed Breed,"Black, White"
3567,3567,b52b8d946,4,1,24,2,2,1,1,1,1,1,1,0,0,1.0,41326,Mixed Breed,"Black, Cream"
3573,3573,e65daf4dd,4,2,2,2,1,1,2,2,2,1,1,1,0,1.0,41327,Domestic Short Hair,"Black, Brown"
3577,3577,f6db28991,1,2,2,1,2,1,2,1,2,1,1,50,1,6.0,41326,Domestic Short Hair,"Gray, White"
3589,3589,93e058345,3,2,2,1,2,1,2,1,2,1,1,0,0,2.0,41401,Domestic Short Hair,"Yellow, White"
3601,3601,4a8dc3644,2,1,24,1,2,1,1,1,2,1,1,0,0,3.0,41330,Mixed Breed,"Golden, Cream"
3602,3602,16002dd9b,2,1,2,2,2,1,2,2,2,1,1,0,0,4.0,41326,Rat Terrier,"Black, Brown"
3614,3614,f7b67fd7f,1,1,2,2,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,Brown
3615,3615,18a8b9b6e,3,2,2,2,1,2,2,2,2,1,2,0,0,4.0,41401,Domestic Medium Hair,"Black, White"
3643,3643,0fa25b7e5,3,1,1,2,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
3662,3662,ee63ca0b4,4,2,12,2,2,1,1,1,2,1,1,180,0,2.0,41401,Mixed Breed,"Black, White"
3675,3675,56a0c2ccd,3,1,12,1,2,1,1,1,1,1,1,0,0,4.0,41326,Mixed Breed,"Brown, Cream"
3676,3676,bf9ce53b3,4,2,24,2,2,1,1,1,1,1,8,0,0,9.0,41326,Domestic Short Hair,"Brown, Yellow"
3687,3687,aa3409a07,4,2,12,1,2,2,2,2,1,1,1,0,0,3.0,41401,Domestic Medium Hair,Brown
3689,3689,75758ad3f,4,2,1,2,1,1,2,2,2,1,1,0,0,1.0,41345,American Shorthair,"Black, Yellow"
3700,3700,0b6064845,4,1,84,2,2,2,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
3713,3713,0690278af,1,1,2,1,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
3717,3717,b054e635f,4,1,3,2,2,2,2,2,2,1,1,0,0,1.0,41332,Mixed Breed,"Brown, White"
3721,3721,27ab49f1a,2,1,1,1,2,2,2,2,2,1,1,0,0,1.0,41327,Mixed Breed,"Black, Brown"
3724,3724,0211e2f2d,3,2,2,1,2,1,2,1,2,1,2,0,0,3.0,41326,Domestic Short Hair,"Brown, Gray"
3732,3732,e1cc143c4,3,2,69,1,3,3,1,1,1,1,1,200,0,3.0,41401,Mixed Breed,"Black, Brown"
3735,3735,68e6d1bd7,2,1,48,2,1,2,1,1,1,1,1,0,0,3.0,41401,Silky Terrier,Gray
3739,3739,6090e5de6,4,2,4,1,1,2,1,1,2,1,2,0,0,1.0,41401,Domestic Short Hair,"Black, Brown"
3758,3758,d1ef30b8a,4,2,1,3,1,1,2,1,2,1,3,0,0,5.0,41401,Domestic Medium Hair,"Yellow, Gray"
3764,3764,a243c61c6,4,1,7,1,2,1,1,1,1,1,1,0,0,24.0,41326,Mixed Breed,"Brown, White"
3770,3770,dd6cb40d8,2,2,7,2,2,1,1,1,1,1,1,30,0,2.0,41401,Domestic Short Hair,Golden
3773,3773,56b5845d7,4,1,72,3,3,1,3,3,3,1,4,0,0,2.0,41330,Mixed Breed,Brown
3781,3781,06b533b04,3,2,10,1,2,1,1,1,2,1,1,70,0,2.0,41332,American Shorthair,"Black, Gray"
3786,3786,c73c8b6d1,3,2,2,2,1,1,2,1,2,1,1,0,1,1.0,41401,Domestic Short Hair,"Black, Brown"
3807,3807,7adb5f44c,4,1,1,2,2,1,2,2,2,1,2,0,0,3.0,41327,Mixed Breed,"Black, Yellow"
3823,3823,c053ae854,1,2,8,2,2,3,2,2,2,1,1,0,0,2.0,41326,Domestic Long Hair,"Brown, White"
3827,3827,af2ec000a,1,1,1,1,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Cream"
3834,3834,2b4c0f3b6,3,1,2,2,2,2,3,1,3,1,1,0,0,1.0,41401,Mixed Breed,"Brown, White"
3836,3836,d0e762abd,2,2,2,2,2,2,1,1,2,1,1,0,0,1.0,41401,Domestic Medium Hair,"Gray, White"
3837,3837,f93ea9f9f,3,2,4,1,1,1,2,1,2,1,1,0,0,4.0,41401,Domestic Short Hair,"Gray, White"
3851,3851,e801cb768,4,2,24,1,3,2,1,1,1,1,1,0,0,5.0,41326,Siberian,"Yellow, Cream"
3860,3860,b39ead375,4,1,60,1,2,2,2,2,3,1,2,1,0,1.0,41401,Mixed Breed,Black
3864,3864,8ccb8778d,1,2,3,1,2,1,2,1,2,1,1,0,0,5.0,41326,Domestic Short Hair,"Golden, Cream"
3876,3876,17d578acc,4,2,8,3,2,2,2,2,2,1,2,0,0,1.0,41401,Mixed Breed,"Black, Cream"
3914,3914,039fea576,4,1,12,3,2,1,3,3,3,2,3,0,0,1.0,41401,Mixed Breed,"Black, Brown"
3918,3918,788e8757d,4,1,9,2,2,2,1,1,3,1,1,0,0,3.0,41401,Mixed Breed,White
3929,3929,907fc239e,4,1,4,3,2,1,2,2,2,1,2,200,0,2.0,41326,Mixed Breed,"Brown, Cream"
3994,3994,b0278d962,2,1,4,1,2,1,2,2,2,1,1,0,0,3.0,41401,Mixed Breed,"Brown, White"
3995,3995,3d7d23a52,2,1,1,2,2,1,2,2,2,1,1,20,0,1.0,41327,Mixed Breed,"Black, White"
4002,4002,0bf2506a5,2,2,2,1,2,1,2,2,2,1,1,0,0,5.0,41326,Domestic Short Hair,"Gray, White"
4005,4005,95bc62678,4,1,60,2,3,2,3,3,3,1,1,0,0,5.0,41325,Mixed Breed,"Golden, Yellow"
4011,4011,179462b6d,2,1,2,3,2,1,2,2,2,1,9,0,0,3.0,41327,Mixed Breed,"Brown, White"
4025,4025,10711bb95,0,1,36,2,1,3,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Gray"
4034,4034,945bf5e17,4,2,3,1,1,1,3,3,3,1,1,0,0,1.0,41401,Mixed Breed,"Brown, Golden"
4041,4041,d46a58371,1,1,3,3,2,1,3,3,2,1,4,0,0,2.0,41401,Mixed Breed,"Black, Brown"
4051,4051,4be1b15fb,2,2,4,1,2,2,1,1,2,1,1,0,0,4.0,41326,Mixed Breed,"Black, White"
4052,4052,72c38b9ab,1,1,4,1,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
4073,4073,de01d00eb,1,1,24,2,1,2,3,3,3,1,1,0,0,2.0,41326,Mixed Breed,"Brown, Cream"
4077,4077,6708ff204,0,2,4,1,1,3,2,1,2,1,1,0,0,5.0,41326,Domestic Long Hair,Black
4083,4083,8dada5ac5,4,2,2,2,1,1,3,3,3,1,1,0,0,1.0,41326,Domestic Short Hair,"Brown, Yellow"
4111,4111,7a12a494f,4,1,3,2,2,2,1,1,2,1,1,0,0,9.0,41326,Mixed Breed,Black
4119,4119,71a614388,4,2,14,2,2,3,2,1,3,1,1,0,0,1.0,41401,Domestic Medium Hair,Brown
4120,4120,86d87d5f7,4,1,8,1,2,1,3,3,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
4127,4127,e5115cce8,4,2,3,1,2,1,2,2,2,1,1,0,0,4.0,41326,Tabby,"Black, Brown"
4130,4130,2cb1d59ad,2,1,2,2,2,1,2,2,2,1,1,20,0,1.0,41327,Mixed Breed,White
4133,4133,bfdc4cd9d,4,1,5,2,2,1,3,3,3,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
4134,4134,8ce0f64b4,3,2,6,2,2,2,2,2,2,2,1,0,0,1.0,41326,Domestic Short Hair,"Cream, White"
4143,4143,3fa0de4e4,4,1,17,1,2,1,2,2,2,1,1,0,0,6.0,41336,Mixed Breed,"Black, Brown"
4159,4159,cccd87749,3,1,2,2,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
4164,4164,58b4ba48f,4,1,2,2,2,1,1,2,2,1,1,100,0,6.0,41326,Mixed Breed,"Brown, White"
4171,4171,cc8459867,1,1,2,1,2,1,3,3,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
4172,4172,ef15e6473,4,1,3,2,2,1,3,3,3,1,1,0,0,3.0,41327,Mixed Breed,Golden
4199,4199,7c9e28902,4,1,33,2,2,2,1,1,1,1,1,10,0,4.0,41326,Mixed Breed,"Golden, Yellow"
4200,4200,acca0b2ed,1,1,30,2,2,1,1,1,1,1,1,0,0,1.0,41326,Mixed Breed,"Black, Cream"
4207,4207,87ec8e435,3,2,4,2,2,2,2,2,2,1,1,0,0,11.0,41401,Mixed Breed,"Black, Golden"
4233,4233,699a81c51,0,2,1,1,3,3,2,2,2,1,1,25,0,3.0,41326,Mixed Breed,"Brown, White"
4241,4241,94ae813d8,1,2,2,3,2,1,2,2,2,1,3,0,0,5.0,41326,Domestic Short Hair,"Brown, Golden"
4244,4244,19fe29040,4,1,1,2,2,1,3,3,3,1,2,0,0,1.0,41327,Mixed Breed,"Black, Brown"
4248,4248,6c9696bc5,4,1,3,2,2,2,2,2,2,1,1,0,0,3.0,41326,Mixed Breed,Brown
4267,4267,21e4ca7d1,4,1,5,2,2,1,3,3,3,1,1,0,0,2.0,41326,Mixed Breed,"Brown, Yellow"
4276,4276,2d8ec2cff,2,2,3,2,2,2,2,2,2,1,1,0,0,3.0,41326,Domestic Medium Hair,"Black, Brown"
4281,4281,fffa39a6a,3,2,6,1,3,2,2,2,1,1,2,0,0,2.0,41401,Domestic Medium Hair,"Golden, White"
4285,4285,232aee73d,4,1,3,3,2,1,2,3,3,1,4,0,0,3.0,41327,Mixed Breed,"Black, Brown"
4288,4288,e4afff6dd,4,1,2,1,2,2,2,2,2,1,2,0,0,19.0,41326,Mixed Breed,"Black, Yellow"
4289,4289,f3551e91f,2,2,3,1,2,1,2,1,2,1,1,0,0,1.0,41401,Mixed Breed,White
4291,4291,f6ec35f31,4,1,12,1,2,1,1,1,3,1,1,0,0,1.0,41330,Mixed Breed,"Black, Brown"
4306,4306,e4aadf23c,4,2,4,3,1,1,1,1,2,1,3,50,0,3.0,41401,Domestic Short Hair,"Black, Yellow"
4307,4307,7983db8d9,3,1,24,1,2,1,3,3,3,1,1,0,0,4.0,41336,Mixed Breed,"Cream, White"
4308,4308,09f6e29b8,3,2,3,2,2,2,1,1,2,1,1,150,0,1.0,41326,Domestic Long Hair,"Black, Yellow"
4309,4309,ea062393d,2,1,3,2,3,2,2,2,2,1,1,0,0,2.0,41325,Mixed Breed,"Black, Gray"
4326,4326,7a59ae5ed,4,1,1,2,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Yellow"
4336,4336,4696fb463,2,2,2,1,1,1,2,2,2,1,1,0,0,1.0,41335,Domestic Short Hair,White
4340,4340,582c02d86,2,1,12,1,2,1,3,3,2,1,1,0,0,7.0,41326,Mixed Breed,White
4341,4341,8010a808c,0,1,12,2,2,2,2,2,2,1,1,0,0,1.0,41401,Mixed Breed,Brown
4347,4347,9166a802a,3,2,5,2,1,1,2,1,1,1,1,0,0,3.0,41401,Mixed Breed,"Black, Brown"
4363,4363,7438f5d52,3,2,6,1,2,2,2,2,2,1,2,0,0,1.0,41326,Calico,"Black, Brown"
4374,4374,2ea25b63b,4,1,36,2,2,1,1,1,1,1,1,50,0,5.0,41326,Mixed Breed,Gray
4381,4381,cd1e7ec9d,1,2,2,2,1,2,2,2,2,1,2,0,0,4.0,41401,Domestic Medium Hair,"Brown, Yellow"
4420,4420,7ebdfc3b7,4,1,2,1,2,1,2,1,2,1,2,0,0,2.0,41326,Mixed Breed,"Black, Brown"
4421,4421,b2e138d7a,2,2,7,2,2,2,1,1,2,1,1,0,0,2.0,41326,Persian,"Black, Golden"
4423,4423,cf78e66fd,2,1,48,2,1,3,1,1,1,1,1,300,0,1.0,41326,Shih Tzu,"Brown, White"
4438,4438,54959e674,1,2,30,3,2,2,1,1,1,1,2,2,0,1.0,41326,Domestic Short Hair,"Black, Gray"
4452,4452,2f7da7f8f,2,1,5,2,2,1,3,1,3,1,1,0,0,2.0,41326,Mixed Breed,Black
4465,4465,1ff148919,2,2,3,1,2,1,2,2,2,1,1,0,0,1.0,41326,Domestic Short Hair,"Brown, Golden"
4468,4468,c0898504e,2,1,36,2,2,1,2,1,1,1,1,0,0,5.0,41326,Mixed Breed,Cream
4469,4469,1ed0c2a41,2,1,1,2,2,1,2,1,2,1,2,0,0,26.0,41401,Mixed Breed,"Black, White"
4470,4470,386990598,0,1,2,2,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,Gray
4478,4478,f83096577,1,1,2,2,2,2,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,Brown
4482,4482,1020c8f00,2,1,1,2,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Brown, White"
4499,4499,0a4fc94e5,2,2,3,2,1,1,1,1,2,1,1,0,0,1.0,41336,American Shorthair,Brown
4536,4536,469e709ba,4,2,2,2,1,2,2,2,2,1,1,0,0,1.0,41330,Domestic Short Hair,Brown
4549,4549,a120cae65,2,1,4,2,2,1,2,2,2,1,1,0,0,1.0,41401,Mixed Breed,"Black, Brown"
4567,4567,f6fac7b56,4,1,24,3,2,2,1,1,1,1,3,0,0,5.0,41401,Mixed Breed,"Black, Brown"
4581,4581,1871dd283,2,2,5,1,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Brown, White"
4598,4598,55f1edd7d,2,2,6,1,2,2,2,2,2,1,1,0,0,1.0,41326,Bombay,Black
4603,4603,86b3239e9,2,2,12,2,2,1,1,1,2,1,1,0,0,1.0,41336,Domestic Short Hair,"Black, White"
4612,4612,7d6298b6e,4,2,3,1,1,1,1,1,1,1,1,50,0,8.0,41326,Domestic Short Hair,"Gray, White"
4643,4643,a6610ebd3,2,1,12,1,2,1,1,1,2,1,1,0,0,1.0,41336,Beagle,"Black, Brown"
4650,4650,ba2d4e877,2,1,48,1,3,1,1,1,1,1,1,250,0,2.0,41401,Labrador Retriever,Cream
4654,4654,9fb8e5e73,2,1,1,3,2,2,2,2,2,1,3,0,0,5.0,41326,Mixed Breed,"Black, Brown"
4655,4655,fcc138c39,4,1,20,2,2,1,1,1,1,1,2,0,0,11.0,41401,Mixed Breed,"Brown, Gray"
4664,4664,0c0bae9fb,3,2,3,1,2,1,2,3,2,1,2,0,0,9.0,41401,Domestic Short Hair,"Black, White"
4672,4672,1565d09ad,2,2,2,1,2,2,1,1,2,1,1,0,0,3.0,41401,Domestic Short Hair,Black
4677,4677,e58dde7d7,1,2,3,2,2,2,1,1,2,2,1,0,0,2.0,41401,Mixed Breed,"Brown, White"
4678,4678,16dc1188b,4,1,6,1,2,1,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,"Brown, Cream"
4680,4680,cdf4d775f,2,1,9,2,2,1,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
4685,4685,26dfe8b29,4,2,5,2,1,1,1,2,1,1,1,100,0,2.0,41401,Domestic Short Hair,"Black, White"
4686,4686,d9f772c36,4,2,48,2,1,1,1,1,2,1,1,0,0,3.0,41401,Domestic Short Hair,"Black, Brown"
4688,4688,853fc56da,4,2,6,2,1,1,2,2,2,1,1,30,0,1.0,41326,Oriental Short Hair,"Black, White"
4735,4735,150257980,4,2,2,2,1,1,3,3,3,2,1,0,0,1.0,41326,Domestic Medium Hair,Black
4743,4743,004a26127,3,1,1,1,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,Black
4744,4744,b6c338f94,4,1,12,1,2,1,3,3,3,1,1,0,0,4.0,41326,Mixed Breed,"Brown, White"
4774,4774,29e2ac645,2,2,2,3,2,1,2,2,2,1,7,0,0,3.0,41401,Domestic Short Hair,"Black, White"
4803,4803,7026f3191,2,2,1,3,2,1,2,2,2,1,5,0,0,1.0,41326,Domestic Short Hair,"Black, Gray"
4805,4805,7727b4dae,3,1,2,3,2,2,2,2,2,1,5,0,0,2.0,41326,Mixed Breed,"Black, Brown"
4816,4816,ee93b2d47,3,1,8,2,2,1,1,1,1,1,1,0,0,8.0,41401,Mixed Breed,"Brown, White"
4821,4821,a8a2aecc3,4,2,5,2,2,2,2,1,2,1,1,150,0,5.0,41327,Domestic Medium Hair,"Golden, White"
4864,4864,8ac1e8eb6,3,1,1,2,2,1,2,1,2,1,1,0,0,1.0,41401,Mixed Breed,Brown
